"destination","commercial.flag","city","region","country","fligh.direction","flight.type","date","date.year","nbr.of.passengers","cargo.weight","nbr.of.flights","seat.capacity"
"Aalborg","Commercial","Aalborg","","Denmark","Incoming","Non Scheduled",2010-11-01,2010,0,0,1,0
"Aalborg","Commercial","Aalborg","","Denmark","Outgoing","Non Scheduled",2010-12-01,2010,0,0,1,0
"Aalborg","Commercial","Aalborg","","Denmark","Incoming","Non Scheduled",2011-01-01,2011,0,0,1,0
"Aarhus","Commercial","Aarhus","","Denmark","Incoming","Non Scheduled",2007-05-01,2007,102,0,1,200
"Aberdeen","Commercial","Aberdeen","","United Kingdom","Outgoing","Non Scheduled",2011-07-01,2011,0,0,1,0
"Aberdeen","Commercial","Aberdeen","","United Kingdom","Incoming","Non Scheduled",2010-07-01,2010,0,0,1,0
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Outgoing","Non Scheduled",2010-04-01,2010,0,0,1,0
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2012-06-01,2012,0,0,1,190
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2009-02-01,2009,0,0,1,221
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Scheduled",2009-10-01,2009,0,124929,2,0
"Abu Dhabi","Commercial","Abu Dhabi","","United Arab Emirates","Outgoing","Non Scheduled",2010-05-01,2010,0,0,1,0
"Abu Dhabi/Al Dhafra","Commercial","Abu Dhabi","","United Arab Emirates","Outgoing","Non Scheduled",2008-05-01,2008,0,0,1,0
"Abu Dhabi/Al Dhafra","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2008-09-01,2008,0,0,1,0
"Abu Dhabi/Al Dhafra","Commercial","Abu Dhabi","","United Arab Emirates","Incoming","Non Scheduled",2008-05-01,2008,0,0,1,0
"Adana","Commercial","Adana","","Turkey","Incoming","Non Scheduled",2008-08-01,2008,0,0,1,0
"Adana","Commercial","Adana","","Turkey","Outgoing","Non Scheduled",2008-08-01,2008,0,0,1,0
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2012-03-01,2012,146,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2011-08-01,2011,345,0,2,360
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2009-11-01,2009,169,0,1,184
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2010-08-01,2010,158,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Scheduled",2007-08-01,2007,91,0,1,112
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2011-09-01,2011,155,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-01-01,2007,376,0,3,540
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-10-01,2007,636,0,5,686
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2008-06-01,2008,88,0,1,112
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-11-01,2007,179,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-09-01,2008,316,0,4,484
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2009-07-01,2009,627,0,4,672
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2009-08-01,2009,657,0,4,672
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2009-09-01,2009,267,0,2,368
"Agadir","Commercial","Agadir","","Morocco","Incoming","Scheduled",2007-09-01,2007,90,0,1,112
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2012-03-01,2012,145,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-11-01,2007,0,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2008-08-01,2008,411,0,5,557
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2009-08-01,2009,281,0,2,336
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2010-08-01,2010,164,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-10-01,2007,569,0,5,686
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-09-01,2007,284,0,3,306
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-08-01,2008,418,0,5,557
"Agadir","Commercial","Agadir","","Morocco","Incoming","Scheduled",2007-01-01,2007,124,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2011-10-01,2011,160,0,1,168
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-02-01,2007,0,0,1,183
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2008-09-01,2008,337,0,4,484
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2008-11-01,2008,0,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2008-07-01,2008,330,0,4,514
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2008-10-01,2008,517,0,4,598
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2010-10-01,2010,707,0,5,840
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2010-07-01,2010,164,0,1,168
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-06-01,2007,0,0,1,119
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-02-01,2007,169,0,1,183
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-08-01,2007,373,0,4,418
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-11-01,2008,179,0,1,180
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-07-01,2008,324,0,4,514
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2010-07-01,2010,660,0,4,720
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2010-10-01,2010,735,0,5,840
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2011-07-01,2011,325,0,2,360
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2007-09-01,2007,277,0,3,306
"Agadir","Commercial","Agadir","","Morocco","Outgoing","Non Scheduled",2009-09-01,2009,252,0,2,368
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2007-07-01,2007,263,0,3,326
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2008-06-01,2008,0,0,1,112
"Agadir","Commercial","Agadir","","Morocco","Incoming","Non Scheduled",2009-10-01,2009,461,0,4,736
